Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kids,2022-08-06 17:00:52,00:00:07,,Season 5 Main Character Clip 4: Gabby's Dollhouse,HOOK,DefaultWidevineAndroidTablets,00:00:06,00:00:06,MY (Malaysia)
Kids,2022-05-31 11:01:32,00:00:07,,Upin&Ipin: Season 5: Back To School (Episode 1),,DefaultWidevineAndroidTablets,00:00:07,00:00:07,MY (Malaysia)
Kids,2022-03-06 02:49:49,00:00:02,,CoComelon: Season 4: CoComelon Fun Club (Episode 1),,DefaultWidevineAndroidTablets,00:00:02,00:00:02,MY (Malaysia)
Syahirah kiyowo,2023-01-05 12:27:58,00:13:01,,The Fabulous: Season 1: The Pop-up Shop and the Tailor Shop (Episode 4),,DefaultWidevineAndroidTablets,00:27:44,00:27:44,MY (Malaysia)
Syahirah kiyowo,2023-01-04 14:45:55,00:01:50,,The Fabulous: Season 1: The Pop-up Shop and the Tailor Shop (Episode 4),,DefaultWidevineAndroidTablets,00:06:58,Not latest view,MY (Malaysia)
Syahirah kiyowo,2023-01-04 14:28:20,00:16:57,,The Fabulous: Season 1: The VIP and The Regular (Episode 3),,DefaultWidevineAndroidTablets,00:56:20,00:56:20,MY (Malaysia)
Syahirah kiyowo,2023-01-04 14:05:54,00:21:58,,The Fabulous: Season 1: Grandmother’s Scarf and the Cheongdam Fashion Circle (Episode 2),,DefaultWidevineAndroidTablets,00:50:17,00:50:17,MY (Malaysia)
Syahirah kiyowo,2023-01-04 13:19:01,00:36:01,,The Fabulous: Season 1: Dom Pérignon and a Shot of Soju (Episode 1),,DefaultWidevineAndroidTablets,01:03:01,01:03:01,MY (Malaysia)
Syahirah kiyowo,2023-01-04 13:14:59,00:03:06,,Do Do Sol Sol La La Sol: Season 1: Pianist Patient (Episode 2),,DefaultWidevineAndroidTablets,00:10:07,00:10:07,MY (Malaysia)
Syahirah kiyowo,2023-01-04 13:12:35,00:02:17,,Do Do Sol Sol La La Sol: Season 1: Do Do Sol Sol La La Sol (Episode 1),,DefaultWidevineAndroidTablets,00:56:57,00:56:57,MY (Malaysia)
Syahirah kiyowo,2023-01-04 12:33:34,00:35:29,,Alchemy of Souls: Part 2: Episode 8,,DefaultWidevineAndroidTablets,01:14:21,01:14:21,MY (Malaysia)
Syahirah kiyowo,2023-01-04 11:28:43,00:59:17,,Alchemy of Souls: Part 2: Episode 7,,DefaultWidevineAndroidTablets,01:10:19,01:10:19,MY (Malaysia)
Syahirah kiyowo,2023-01-03 15:14:30,00:01:57,,Alchemy of Souls: Part 2: Episode 7,,DefaultWidevineAndroidTablets,00:05:25,Not latest view,MY (Malaysia)
Syahirah kiyowo,2023-01-03 14:06:09,01:03:47,,Alchemy of Souls: Part 2: Episode 6,,DefaultWidevineAndroidTablets,01:15:47,01:15:47,MY (Malaysia)
Syahirah kiyowo,2023-01-03 13:57:15,00:05:30,,Alchemy of Souls: Part 2: Episode 5,,DefaultWidevineAndroidTablets,01:16:48,01:16:48,MY (Malaysia)
Syahirah kiyowo,2023-01-03 12:00:12,01:05:05,,Alchemy of Souls: Part 2: Episode 5,,DefaultWidevineAndroidTablets,01:11:25,Not latest view,MY (Malaysia)
Syahirah kiyowo,2023-01-03 11:59:59,00:00:04,,Alchemy of Souls: Part 1: Episode 8,,DefaultWidevineAndroidTablets,00:44:22,00:44:22,MY (Malaysia)
Syahirah kiyowo,2023-01-03 08:57:51,00:00:26,,Kantara_hook_04_16x9,HOOK,DefaultWidevineAndroidPhone,00:00:24,00:00:24,MY (Malaysia)
Syahirah kiyowo,2023-01-02 16:03:22,00:13:43,,The Glory: Season 1: Episode 2,,DefaultWidevineAndroidTablets,00:23:05,00:23:05,MY (Malaysia)
Syahirah kiyowo,2023-01-02 15:39:18,00:23:42,,The Glory: Season 1: Episode 1,,DefaultWidevineAndroidTablets,00:43:10,00:43:10,MY (Malaysia)
Syahirah kiyowo,2023-01-02 14:58:45,00:11:03,,"Emily in Paris: Season 3: Live From Paris, It’s Emily Cooper (Episode 4)",,DefaultWidevineAndroidTablets,00:14:22,00:14:22,MY (Malaysia)
Syahirah kiyowo,2023-01-02 14:35:25,00:23:12,,Emily in Paris: Season 3: Coo D’état (Episode 3),,DefaultWidevineAndroidTablets,00:29:46,00:29:46,MY (Malaysia)
Syahirah kiyowo,2023-01-02 14:32:11,00:03:12,,Emily in Paris: Season 3: What's It All About... (Episode 2),,DefaultWidevineAndroidTablets,00:30:17,00:30:17,MY (Malaysia)
Syahirah kiyowo,2023-01-02 13:47:19,00:39:32,,The Glory: Season 1: Episode 8,,DefaultWidevineAndroidTablets,00:50:43,00:50:43,MY (Malaysia)
Syahirah kiyowo,2023-01-02 13:02:42,00:01:08,,The Glory: Season 1: Episode 8,,DefaultWidevineAndroidTablets,00:03:26,Not latest view,MY (Malaysia)
Syahirah kiyowo,2023-01-02 12:09:32,00:40:38,,The Glory: Season 1: Episode 7,,DefaultWidevineAndroidTablets,00:45:50,00:45:50,MY (Malaysia)
Syahirah kiyowo,2023-01-02 10:50:59,00:45:52,,The Glory: Season 1: Episode 6,,DefaultWidevineAndroidTablets,00:47:43,00:47:43,MY (Malaysia)
Syahirah kiyowo,2023-01-02 10:37:20,00:13:38,,The Glory: Season 1: Episode 5,,DefaultWidevineAndroidTablets,00:44:34,00:44:34,MY (Malaysia)
Syahirah kiyowo,2023-01-02 08:10:28,00:27:52,,The Glory: Season 1: Episode 5,,DefaultWidevineAndroidTablets,00:31:00,Not latest view,MY (Malaysia)
Syahirah kiyowo,2023-01-02 07:29:00,00:39:23,,The Glory: Season 1: Episode 4,,DefaultWidevineAndroidTablets,00:43:04,00:43:04,MY (Malaysia)
Syahirah kiyowo,2023-01-02 06:38:37,00:20:18,,The Glory: Season 1: Episode 3,,DefaultWidevineAndroidTablets,00:46:00,00:46:00,MY (Malaysia)
Syahirah kiyowo,2023-01-02 01:24:31,00:21:22,,The Glory: Season 1: Episode 3,,DefaultWidevineAndroidTablets,00:25:50,Not latest view,MY (Malaysia)
Syahirah kiyowo,2023-01-02 00:26:36,00:34:37,,The Glory: Season 1: Episode 2,,DefaultWidevineAndroidTablets,00:47:34,Not latest view,MY (Malaysia)
Syahirah kiyowo,2023-01-02 00:20:11,00:06:24,,The Glory: Season 1: Episode 1,,DefaultWidevineAndroidTablets,00:43:13,Not latest view,MY (Malaysia)
Syahirah kiyowo,2023-01-01 15:18:23,00:38:49,,Hometown Cha-Cha-Cha: Season 1: Episode 5,,DefaultWidevineAndroidTablets,01:09:22,01:09:22,MY (Malaysia)
Syahirah kiyowo,2023-01-01 14:16:48,01:01:27,,Hometown Cha-Cha-Cha: Season 1: Episode 4,,DefaultWidevineAndroidTablets,01:13:58,01:13:58,MY (Malaysia)
Syahirah kiyowo,2023-01-01 14:12:59,00:01:30,,The Glory: Season 1: Episode 1,,DefaultWidevineAndroidTablets,00:36:40,Not latest view,MY (Malaysia)
Syahirah kiyowo,2023-01-01 13:33:30,00:25:11,,The Glory: Season 1: Episode 1,,DefaultWidevineAndroidTablets,00:35:16,Not latest view,MY (Malaysia)
Syahirah kiyowo,2022-12-26 02:02:45,00:00:07,,Gudetama: An Eggcellent Adventure: Season 1: So Dizzy (Episode 2),,DefaultWidevineAndroidTablets,00:00:12,00:00:12,MY (Malaysia)
Syahirah kiyowo,2022-12-26 01:54:38,00:08:07,,Gudetama: An Eggcellent Adventure: Season 1: What a Drag… (Episode 1),,DefaultWidevineAndroidTablets,00:08:06,00:08:06,MY (Malaysia)
